ID,ecozone,gender,reproduction,embryo
Biomphalaria_glabrata,T,H,O,F
Biomphalaria_pfeifferi,T,H,O,F
Dilatata_dilatata,T,H,O,F
Planorbarius_corneus,T,H,O,F
Planorbella_duryi,T,H,O,F
Planorbella_trivolvis,T,H,O,F
Planorbis_planorbis,T,H,O,F
Physa_fontinalis,T,H,O,F
Physella_acuta,T,H,O,F
Physella_gyrina,T,H,O,F
Succinea_putris,T,H,O,T
Achatina_achatina,T,H,O,T
Alinda_biplicata,T,H,O,T
Vestia_elata,T,H,O,T
Punctum_pygmaeum,T,H,O,T
Discus_perspectivus,T,H,O,T
Discus_rotundatus,T,H,O,T
Discus_ruderatus,T,H,O,T
Megalobulimus_mogianensis,T,H,O,T
Aegopinella_epipedostoma,T,H,O,T
Ambigolimax_valentianus,T,H,O,T
Arion_subfuscus,T,H,O,T
Ariolimax_columbianus,T,H,O,T
Cornu_aspersum,T,H,O,T
Helix_pomatia,T,H,O,T
Helix_lucorum,T,H,O,T
Cepaea_nemoralis,T,H,O,T
Faustina_faustina,T,H,O,T
Helicodonta_obvoluta,T,H,O,T
Cernuella_virgata,T,H,O,T
Trochulus_hispidus,T,H,O,T
Perforatella_bidentata,T,H,O,T
Nautilus_pompilius,M,D,O,M
Idiosepius_pygmaeus,M,D,O,M
Xipholeptos_notoides,M,D,O,M
Alloteuthis_africana,M,D,O,M
Alloteuthis_subulata,M,D,O,M
Doryteuthis_gahi,M,D,O,M
Doryteuthis_opalescens,M,D,O,M
Doryteuthis_pealeii,M,D,O,M
Doryteuthis_pleii,M,D,O,M
Doryteuthis_sanpaulensis,M,D,O,M
Heterololigo_bleekeri,M,D,O,M
Loligo_forbesii,M,D,O,M
Loligo_reynaudii,M,D,O,M
Loligo_vulgaris,M,D,O,M
Lolliguncula_brevis,M,D,O,M
Sepioteuthis_australis,M,D,O,M
Sepioteuthis_lessoniana,M,D,O,M
Uroteuthis_chinensis,M,D,O,M
Uroteuthis_duvauceli,M,D,O,M
Uroteuthis_edulis,M,D,O,M
Uroteuthis_noctiluca,M,D,O,M
Cranchia_scabra,M,D,O,M
Liocranchia_reinhardtii,M,D,O,M
Galiteuthis_phyllura,M,D,O,M
Taonius_borealis,M,D,O,M
Ancistrocheirus_lesueurii,M,D,O,M
Abralia_multihamata,M,D,O,M
Abralia_trigonura,M,D,O,M
Abraliopsis_morisii,M,D,O,M
Enoploteuthis_leptura,M,D,O,M
Watasenia_scintillans,M,D,O,M
Berryteuthis_magister,M,D,O,M
Gonatus_fabricii,M,D,O,M
Histioteuthis_bonnellii,M,D,O,M
Histioteuthis_miranda,M,D,O,M
Lycoteuthis_lorigera,M,D,O,M
Moroteuthopsis_ingens,M,D,O,M
Onychoteuthis_banksi,M,D,O,M
Pterygioteuthis_gemmata,M,D,O,M
Illex_argentinus,M,D,O,M
Illex_coindetii,M,D,O,M
Illex_illecebrosus,M,D,O,M
Dosidicus_gigas,M,D,O,M
Ommastrephes_bartramii,M,D,O,M
Ornithoteuthis_antillarum,M,D,O,M
Sthenoteuthis_oualaniensis,M,D,O,M
Sthenoteuthis_pteropus,M,D,O,M
Martialia_hyadesi,M,D,O,M
Nototodarus_sloanii,M,D,O,M
Todarodes_angolensis,M,D,O,M
Todarodes_sagittatus,M,D,O,M
Todaropsis_eblanae,M,D,O,M
Thysanoteuthis_rhombus,M,D,O,M
Sepia_apama,M,D,O,M
Sepia_elegans,M,D,O,M
Sepia_officinalis,M,D,O,M
Sepia_orbignyana,M,D,O,M
Sepia_pharaonis,M,D,O,M
Sepiella_inermis,M,D,O,M
Sepiola_atlantica,M,D,O,M
Sepietta_obscura,M,D,O,M
Euprymna_hyllebergi,M,D,O,M
Rossia_macrosoma,M,D,O,M
Rossia_pacifica,M,D,O,M
Spirula_spirula,M,D,O,M
Argonauta_argo,M,D,O,M
Argonauta_hians,M,D,O,M
Japetella_diaphana,M,D,O,M
Bathypolypus_arcticus,M,D,O,M
Eledone_cirrhosa,M,D,O,M
Enteroctopus_dofleini,M,D,O,M
Enteroctopus_megalocyathus,M,D,O,M
Muusoctopus_rigbyae,M,D,O,M
Megaleledone_setebos,M,D,O,M
Pareledone_aequipapillae,M,D,O,M
Pareledone_charcoti,M,D,O,M
Amphioctopus_aegina,M,D,O,M
Amphioctopus_burryi,M,D,O,M
Amphioctopus_fangsiao,M,D,O,M
Hapalochlaena_maculosa,M,D,O,M
Octopus_bimaculoides,M,D,O,M
Octopus_briareus,M,D,O,M
Octopus_cyanea,M,D,O,M
Octopus_joubini,M,D,O,M
Octopus_maya,M,D,O,M
Octopus_mimus,M,D,O,M
Octopus_pallidus,M,D,O,M
Octopus_tehuelchus,M,D,O,M
Octopus_tetricus,M,D,O,M
Octopus_vulgaris,M,D,O,M
Paroctopus_digueti,M,D,O,M
Pteroctopus_tetracirrhus,M,D,O,M
Robsonella_fontaniana,M,D,O,M
Robsonella_huttoni,M,D,O,M
Vampyroteuthis_infernalis,M,D,O,M
Aspidiophorus_polystictos,T,D,A,F
Magellania_fragilis,M,D,O,M
Phoronis_pallida,M,H,O,M
Phoronis_psammophila,M,H,O,M
Flustra_foliacea,M,H,O,M
Isosecuriflustra_tenuis,M,H,O,M
Nematoflustra_flagellata,M,H,O,M
Cellarinella_watersi,M,H,O,M
Myzostoma_cirriferum,M,H,O,M
Ophryotrocha_labronica,M,D,O,M
Hediste_diversicolor,M,D,O,M
Neanthes_arenaceodentata,M,H,O,M
Capitella_teleta,M,D,A,M
Arenicola_marina,M,D,O,M
Urechis_caupo,M,D,O,M
Bimastos_rubidus,T,H,O,T
Dendrobaena_octaedra,T,H,O,T
Lumbricus_terrestris,T,H,O,T
Lumbricus_rubellus,T,H,O,T
Octolasion_cyaneum,T,H,O,T
Aporrectodea_caliginosa,T,H,O,T
Aporrectodea_longa,T,H,O,T
Eisenia_andrei,T,H,O,T
Eisenia_fetida,T,H,O,T
Branchiura_sowerbyi,T,H,O,T
Barbronia_weberi,T,H,O,F
Theromyzon_tessulatum,T,H,O,F
Schmidtea_polychroa,T,H,O,F
Baikaiobia_guttata,T,H,O,F
Branchotenthes_octohamatus,M,H,O,M
Lineus_viridis,M,D,O,M
Ferosagitta_hispida,M,H,O,M
Plectus_palustris,T,D,A,T
Caenorhabditis_briggsae,T,D,A,T
Caenorhabditis_elegans,T,H,O,T
Macrobiotus_hufelandii,T,D,A,T
Hypsibius_convergens,T,D,A,T
Ramazzottius_oberhaeuseri,T,D,A,T
Milnesium_tardigradum,T,D,A,T
Pycnogonum_litorale,M,D,O,M
Smeringurus_mesaensis,T,D,O,T
Grosphus_hirtus,T,D,O,T
Centruroides_gracilis,T,D,O,T
Rhizoglyphus_robini,T,D,O,T
Alaskozetes_antarcticus,T,D,O,T
Aglaoctenus_lagotis,T,D,O,T
Tetragnatha_versicolor,T,D,O,T
Artemia_monica,T,D,A,F
Artemia_salina,T,D,A,F
Artemia_urmiana,T,D,A,F
Branchinecta_gigas,T,D,A,F
Branchinecta_lindahli,T,D,A,F
Branchinecta_mackini,T,D,A,F
