lat_grid_idx,lon_grid_idx,species_count,genus_count,observation_count,temperature_param_mean,depth_param_mean,salinity_param_mean,primary_production_param_mean,dissolved_oxygen_param_mean,distance_to_land_param_mean,overall_probability,cell_center_lat,cell_center_lon,lat_south,lat_north,lon_west,lon_east
6,39,7,7,7,0.22124999999999997,538.7083333333334,33.82833333333333,6.1816666666666675,274.9766666666667,218.89583333333334,0.4014285714285714,-78.3,-37.79999999999998,-79.2,-77.4,-39.599999999999994,-36.0
6,40,4,4,4,2.3406249999999997,1379.25,31.91875,16.045,248.095,493.125,0.4275,-78.3,-34.19999999999999,-79.2,-77.4,-36.0,-32.400000000000006
6,93,2,2,2,1.04375,1393.625,33.81125,14.622499999999999,259.86875,250.875,0.915,-78.3,156.60000000000002,-79.2,-77.4,154.8,158.40000000000003
6,94,6,6,6,1.5145833333333336,761.2916666666666,33.174166666666665,10.410833333333334,264.89625,287.1666666666667,0.5416666666666666,-78.3,160.2,-79.2,-77.4,158.40000000000003,162.0
6,95,3,3,3,3.5908333333333338,647.8333333333334,33.6625,12.515,269.6458333333333,368.0,0.056666666666666664,-78.3,163.8,-79.2,-77.4,162.0,165.60000000000002
6,96,9,9,10,3.8485,1072.4,31.756999999999998,19.319499999999998,250.11399999999998,458.175,0.518,-78.3,167.40000000000003,-79.2,-77.4,165.60000000000002,169.2
6,97,8,7,8,4.1725,912.40625,31.6721875,19.275,255.19375,389.0625,0.49124999999999996,-78.3,171.0,-79.2,-77.4,169.2,172.8
6,98,9,8,9,1.3930555555555555,870.4722222222222,33.12722222222222,10.617777777777778,266.0227777777778,331.4166666666667,73.89111111111112,-78.3,174.60000000000002,-79.2,-77.4,172.8,176.40000000000003
6,99,7,7,9,3.845833333333333,1492.4722222222222,32.474999999999994,20.059444444444445,250.1491666666667,432.3611111111111,0.5788888888888889,-78.3,178.2,-79.2,-77.4,176.40000000000003,180.0
7,0,20,16,29,1.8650892857142856,973.3839285714286,32.825267857142855,13.276785714285714,257.786875,372.02232142857144,0.5031034482758621,-76.5,-178.2,-77.4,-75.6,-180.0,-176.4
7,1,23,19,31,1.9683064516129032,680.3790322580645,33.29879032258064,12.36233870967742,258.5001612903226,373.1209677419355,44.46741935483871,-76.5,-174.6,-77.4,-75.6,-176.4,-172.8
7,2,27,20,43,4.195595238095239,984.452380952381,31.965119047619048,19.601904761904763,250.8264880952381,397.0327380952381,9.982558139534884,-76.5,-171.0,-77.4,-75.6,-172.8,-169.2
7,3,13,12,17,5.472205882352942,1212.0735294117646,31.933529411764706,25.052941176470586,237.6430882352941,401.6029411764706,0.3847058823529412,-76.5,-167.4,-77.4,-75.6,-169.2,-165.6
7,4,16,14,25,1.886,567.36,32.9426,12.144200000000001,252.2443,311.775,0.5228,-76.5,-163.8,-77.4,-75.6,-165.6,-162.0
7,5,18,13,28,3.0439285714285718,958.375,32.435625,17.221160714285713,255.65839285714287,319.0044642857143,0.5103571428571428,-76.5,-160.2,-77.4,-75.6,-162.0,-158.4
7,6,25,22,36,2.9159027777777777,1163.0555555555557,32.629375,16.084097222222223,253.9654166666667,409.46875,0.3705555555555555,-76.5,-156.6,-77.4,-75.6,-158.4,-154.8
7,7,25,19,38,2.613680555555556,788.9652777777778,32.80319444444444,15.079722222222223,254.78729166666668,369.7083333333333,0.38263157894736843,-76.5,-153.0,-77.4,-75.6,-154.8,-151.2
7,8,18,13,23,1.2420454545454547,840.1931818181819,33.24431818181818,11.914431818181818,262.08079545454547,298.4375,0.21434782608695652,-76.5,-149.4,-77.4,-75.6,-151.2,-147.6
7,9,10,7,12,0.6320833333333332,601.9166666666666,33.28729166666667,9.528541666666667,267.39708333333334,332.7708333333333,0.24833333333333332,-76.5,-145.8,-77.4,-75.6,-147.6,-144.0
7,28,3,3,4,-0.59375,377.375,33.715,5.909375000000001,272.51375,291.5625,0.2625,-76.5,-77.39999999999999,-77.4,-75.6,-79.2,-75.6
7,29,3,3,3,1.1533333333333333,1080.0833333333333,33.795,11.759166666666667,265.2791666666667,190.0,0.04,-76.5,-73.8,-77.4,-75.6,-75.6,-72.0
7,30,4,2,4,-0.32875,252.375,33.65375,6.329375,267.4975,138.6875,0.4825,-76.5,-70.2,-77.4,-75.6,-72.0,-68.39999999999999
7,31,8,7,10,2.7984999999999998,436.775,32.991249999999994,14.48875,269.278,233.05,0.20799999999999996,-76.5,-66.6,-77.4,-75.6,-68.39999999999999,-64.8
7,32,17,12,21,3.0325,819.2261904761905,31.94047619047619,15.031071428571428,258.11845238095236,334.0357142857143,0.5014285714285714,-76.5,-63.0,-77.4,-75.6,-64.8,-61.2
7,33,30,23,40,1.6319375,649.70625,33.2064375,11.0874375,265.7594375,280.671875,0.63075,-76.5,-59.39999999999999,-77.4,-75.6,-61.2,-57.599999999999994
7,34,20,14,30,1.9186607142857142,1045.2232142857142,32.87375,14.939017857142858,257.69464285714287,363.25,0.5203333333333333,-76.5,-55.8,-77.4,-75.6,-57.599999999999994,-54.0
7,35,12,10,15,1.665,694.95,33.34866666666667,11.433,259.8483333333333,441.125,0.482,-76.5,-52.2,-77.4,-75.6,-54.0,-50.400000000000006
7,36,16,16,21,2.6022619047619044,1134.392857142857,32.12607142857143,14.542261904761904,253.53976190476192,462.82142857142856,0.29285714285714287,-76.5,-48.599999999999994,-77.4,-75.6,-50.400000000000006,-46.79999999999998
7,37,9,7,11,1.4260000000000002,888.35,33.783750000000005,12.626999999999999,255.868,460.025,0.2781818181818182,-76.5,-45.0,-77.4,-75.6,-46.79999999999998,-43.19999999999999
7,38,10,9,12,1.4345454545454546,855.9090909090909,33.0625,9.5825,261.18454545454546,481.72727272727275,0.3,-76.5,-41.400000000000006,-77.4,-75.6,-43.19999999999999,-39.599999999999994
7,39,14,12,18,1.5712499999999998,1169.46875,33.06734375,12.2959375,263.91031250000003,331.53125,0.3938888888888889,-76.5,-37.79999999999998,-77.4,-75.6,-39.599999999999994,-36.0
7,40,15,12,19,1.6206944444444444,721.625,33.01611111111111,13.003472222222221,259.46722222222223,395.02777777777777,0.301578947368421,-76.5,-34.19999999999999,-77.4,-75.6,-36.0,-32.400000000000006
7,41,28,22,40,2.5691891891891894,864.0337837837837,32.38966216216216,14.03027027027027,257.5391891891892,377.9966216216216,10.12725,-76.5,-30.599999999999994,-77.4,-75.6,-32.400000000000006,-28.799999999999983
